Variable:,txx
,Ghana,Ashanti,"Brong Ahafo",Central,Eastern,"Greater Accra",Northern,"Upper East","Upper West",Volta,Western
2015,39.59,38.05,38.89,34.55,36.66,32.76,40.91,42.19,41.70,38.00,35.27
2016,39.52,38.00,39.05,34.58,36.55,32.66,40.83,42.15,41.66,37.86,35.23
2017,39.54,38.08,39.10,34.64,36.53,32.64,40.89,41.93,41.26,37.94,35.25
2018,39.66,37.81,39.15,34.47,36.51,32.76,41.26,42.24,41.79,37.99,35.12
2019,39.79,38.15,39.45,34.85,36.66,32.99,41.25,42.16,41.55,38.21,35.44
2020,39.96,38.41,39.52,34.92,36.76,32.97,41.37,42.29,41.82,38.35,35.69
2021,39.87,38.51,39.39,34.92,36.97,32.98,41.16,42.32,41.71,38.27,35.58
2022,40.05,38.51,39.50,35.00,36.97,33.04,41.46,42.52,41.83,38.49,35.70
2023,39.85,38.39,39.50,34.75,36.61,32.93,41.28,42.39,41.71,38.21,35.55
2024,40.07,38.30,39.75,34.94,36.80,33.02,41.54,42.61,42.04,38.44,35.59
2025,40.06,38.50,39.60,35.17,36.96,33.28,41.40,42.57,42.03,38.44,35.83
2026,40.05,38.25,39.39,34.98,36.82,33.05,41.60,42.75,42.14,38.31,35.56
2027,39.99,38.36,39.43,35.19,36.97,33.11,41.33,42.34,41.94,38.48,35.81
2028,40.26,38.71,39.80,35.06,37.04,33.37,41.76,42.72,42.19,38.61,35.66
2029,40.11,38.38,39.45,35.00,37.04,33.26,41.58,42.73,42.04,38.56,35.62
2030,39.99,38.41,39.38,35.01,36.98,33.20,41.40,42.39,41.86,38.42,35.66
2031,40.13,38.32,39.39,35.16,37.05,33.32,41.65,42.69,42.23,38.57,35.74
2032,40.23,38.59,39.64,35.10,37.15,33.26,41.63,42.75,42.20,38.59,35.79
2033,40.18,38.54,39.76,35.15,37.03,33.30,41.62,42.65,42.19,38.54,35.87
2034,40.44,38.74,39.92,35.33,37.17,33.33,41.89,43.10,42.55,38.85,36.15
2035,40.24,38.41,39.70,35.10,36.99,33.24,41.79,42.89,42.45,38.67,35.84
2036,40.40,38.60,39.83,35.26,36.98,33.42,42.01,43.13,42.76,38.44,35.84
2037,40.49,38.72,40.16,35.33,37.29,33.38,41.96,43.13,42.42,38.70,36.02
2038,40.35,38.99,39.90,35.49,37.26,33.55,41.71,42.89,42.28,38.68,36.14
2039,40.35,38.76,39.92,35.30,37.14,33.29,41.76,43.07,42.33,38.60,36.03
2040,40.41,38.70,39.90,35.18,37.16,33.29,41.88,42.97,42.53,38.87,35.95
2041,40.35,38.93,39.87,35.49,37.23,33.31,41.83,42.70,42.27,38.59,36.29
2042,40.41,38.90,40.10,35.52,37.15,33.61,41.77,42.90,42.43,38.70,36.22
2043,40.73,39.02,40.23,35.64,37.55,33.78,42.17,43.23,42.74,39.11,36.31
2044,40.75,39.00,40.25,35.53,37.47,33.55,42.20,43.09,42.51,39.14,36.27
2045,40.38,38.56,39.80,35.18,37.14,33.27,41.87,42.94,42.38,38.92,35.86
2046,40.77,39.32,40.35,35.62,37.88,33.57,42.10,43.22,42.81,39.12,36.21
2047,40.65,39.03,40.29,35.56,37.68,33.55,42.01,43.01,42.50,39.17,36.18
2048,40.44,38.68,40.09,35.14,37.26,33.44,41.91,42.82,42.45,38.84,35.97
2049,40.53,38.98,39.94,35.52,37.56,33.46,41.90,43.18,42.59,38.85,36.22
2050,40.70,38.76,40.11,35.41,37.26,33.53,42.25,43.54,42.91,39.01,36.06
2051,40.60,38.81,40.11,35.59,37.49,33.83,42.06,43.25,42.68,39.00,36.24
2052,40.59,38.97,40.15,35.42,37.38,33.58,42.04,43.16,42.63,39.02,36.23
2053,40.43,38.93,39.91,35.37,37.48,33.49,41.82,42.92,42.27,38.74,36.06
2054,40.82,39.29,40.52,35.66,37.70,33.85,42.27,43.10,42.73,39.15,36.30
2055,40.49,38.91,39.98,35.58,37.40,33.59,41.90,43.02,42.37,38.78,36.24
2056,40.89,39.16,40.52,35.63,37.67,33.64,42.40,43.38,42.98,39.19,36.25
2057,40.61,38.81,39.95,35.58,37.42,33.66,42.11,43.31,42.77,38.98,36.27
2058,40.62,39.02,40.11,35.72,37.58,33.88,42.03,43.05,42.45,39.07,36.43
2059,40.79,39.00,40.29,35.63,37.37,33.64,42.36,43.27,42.70,39.10,36.26
2060,40.88,39.37,40.48,35.69,37.49,33.69,42.30,43.33,42.78,39.23,36.52
2061,40.60,38.96,39.99,35.48,37.40,33.64,42.08,43.13,42.49,39.01,36.34
2062,40.62,39.04,40.21,35.33,37.36,33.48,42.02,43.18,42.32,38.98,36.21
2063,40.66,39.27,40.24,35.73,37.56,33.67,42.00,42.95,42.55,39.05,36.48
2064,40.55,38.86,39.98,35.49,37.29,33.63,42.09,43.29,42.59,38.67,36.15
2065,40.66,38.91,40.02,35.52,37.48,33.60,42.14,43.49,42.72,38.92,36.29
2066,40.69,39.00,40.23,35.68,37.44,33.68,42.14,43.05,42.67,39.01,36.19
2067,40.84,39.29,40.41,35.76,37.67,33.56,42.20,43.48,42.84,39.15,36.52
2068,40.66,38.96,40.29,35.54,37.37,33.74,42.14,42.99,42.61,38.94,36.24
2069,40.91,39.21,40.56,35.79,37.53,33.73,42.39,43.46,42.85,39.16,36.47
2070,40.52,38.76,40.01,35.49,37.35,33.64,41.92,43.17,42.53,38.87,36.17
2071,40.69,38.95,40.21,35.47,37.57,33.59,42.19,43.25,42.68,39.02,36.15
2072,40.54,38.72,39.86,35.71,37.18,33.78,42.09,43.02,42.58,38.91,36.28
2073,40.79,39.13,40.26,35.63,37.55,33.76,42.22,43.44,42.75,39.21,36.33
2074,40.86,39.30,40.49,35.88,37.77,33.71,42.30,43.22,42.69,39.16,36.57
2075,40.56,38.71,40.08,35.23,37.22,33.49,42.05,43.08,42.69,39.06,35.92
2076,40.64,38.96,40.13,35.64,37.43,33.63,42.04,43.33,42.64,38.96,36.42
2077,40.67,39.11,40.28,35.54,37.45,33.65,42.01,43.21,42.62,39.03,36.31
2078,40.70,39.20,40.36,35.56,37.65,33.76,42.01,43.13,42.48,39.16,36.33
2079,40.84,39.11,40.38,35.51,37.53,33.72,42.29,43.57,42.88,39.01,36.24
2080,40.62,38.90,40.18,35.72,37.47,33.75,42.08,43.06,42.74,39.05,36.08
2081,40.55,38.98,40.08,35.59,37.50,33.58,41.92,42.98,42.50,38.88,36.44
2082,40.79,39.12,40.27,35.75,37.47,33.71,42.23,43.40,42.74,39.14,36.42
2083,40.67,39.09,40.29,35.53,37.40,33.70,42.04,43.26,42.81,38.94,36.28
2084,40.51,38.88,40.00,35.62,37.58,33.79,41.88,42.80,42.33,38.98,36.23
2085,40.69,39.02,40.28,35.47,37.52,33.57,42.12,43.06,42.37,39.07,36.24
2086,40.61,39.04,40.19,35.67,37.43,33.59,42.01,43.15,42.39,38.86,36.34
2087,40.61,39.00,40.06,35.49,37.24,33.70,42.07,43.08,42.50,38.96,36.32
2088,40.77,39.16,40.40,35.57,37.48,33.74,42.15,43.34,42.96,39.07,36.26
2089,40.45,38.61,39.90,35.24,37.15,33.42,41.91,43.31,42.69,38.67,35.94
2090,40.78,39.10,40.36,35.66,37.64,33.82,42.27,43.37,42.75,39.02,36.23
2091,40.67,38.89,39.98,35.72,37.41,33.77,42.01,43.44,42.83,38.99,36.28
2092,40.70,39.07,40.35,35.63,37.47,33.66,42.04,43.13,42.71,39.09,36.41
2093,40.46,38.89,40.09,35.40,37.25,33.57,41.87,42.74,42.29,38.88,36.15
2094,40.48,38.69,39.88,35.38,37.25,33.53,41.97,43.08,42.53,38.89,36.05
2095,40.63,38.84,40.09,35.40,37.24,33.58,42.11,43.43,42.74,38.95,36.02
2096,40.59,38.93,40.09,35.52,37.35,33.56,42.01,42.98,42.66,39.11,36.24
2097,40.72,38.86,40.17,35.71,37.62,33.82,42.08,43.23,42.56,39.25,36.26
2098,40.63,39.12,40.30,35.30,37.48,33.67,41.98,43.19,42.35,39.00,36.08
2099,40.42,38.84,40.06,35.40,37.41,33.42,41.84,42.77,42.52,38.72,36.09
2100,40.88,39.11,40.23,35.77,37.53,33.74,42.37,43.75,43.08,39.12,36.30
