Variable:,tasmax
,Ghana,Ashanti,"Brong Ahafo",Central,Eastern,"Greater Accra",Northern,"Upper East","Upper West",Volta,Western
1901,32.17,31.26,31.89,30.31,31.28,30.82,33.28,34.09,33.45,31.82,30.59
1902,32.04,31.05,31.71,30.11,31.07,30.63,33.21,34.14,33.55,31.65,30.39
1903,32.34,31.28,31.98,30.31,31.28,30.83,33.58,34.61,33.96,31.86,30.59
1904,32.16,31.08,31.79,30.11,31.07,30.64,33.42,34.49,33.84,31.68,30.39
1905,32.10,31.18,31.82,30.29,31.17,30.76,33.18,34.03,33.55,31.65,30.61
1906,32.63,31.63,32.30,30.60,31.67,31.19,33.85,34.76,34.04,32.31,30.84
1907,32.32,31.27,31.93,30.32,31.28,30.85,33.57,34.64,33.85,31.89,30.60
1908,32.35,31.25,31.93,30.29,31.27,30.81,33.64,34.79,33.98,31.89,30.57
1909,32.55,31.54,32.21,30.63,31.53,31.11,33.75,34.72,34.07,32.06,30.92
1910,32.63,31.60,32.27,30.60,31.62,31.15,33.88,34.90,34.09,32.24,30.86
1911,32.12,31.20,31.80,30.28,31.22,30.79,33.23,34.14,33.47,31.77,30.57
1912,32.13,31.02,31.72,30.03,31.06,30.58,33.44,34.59,33.80,31.71,30.29
1913,32.35,31.21,31.92,30.16,31.26,30.77,33.73,34.92,33.93,31.98,30.39
1914,32.76,31.62,32.35,30.51,31.67,31.15,34.16,35.31,34.35,32.42,30.72
1915,31.92,31.04,31.64,30.10,31.06,30.62,33.00,33.81,33.13,31.61,30.38
1916,32.06,31.35,31.88,30.43,31.39,30.95,33.00,33.50,32.87,31.88,30.71
1917,32.23,31.47,32.03,30.55,31.51,31.07,33.21,33.76,33.15,32.01,30.82
1918,32.00,31.27,31.81,30.35,31.31,30.88,32.95,33.49,32.86,31.82,30.63
1919,32.45,31.41,32.11,30.44,31.41,30.96,33.69,34.67,34.04,31.99,30.72
1920,32.54,31.49,32.20,30.52,31.49,31.03,33.77,34.75,34.12,32.07,30.80
1921,32.50,31.46,32.17,30.49,31.46,31.00,33.73,34.71,34.08,32.03,30.77
1922,32.26,31.35,31.98,30.40,31.37,30.92,33.37,34.17,33.52,31.91,30.68
1923,32.18,31.22,31.87,30.27,31.24,30.79,33.34,34.20,33.55,31.80,30.55
1924,32.60,31.58,32.30,30.60,31.58,31.12,33.83,34.70,34.08,32.17,30.88
1925,32.00,30.95,31.69,29.95,30.91,30.44,33.24,34.20,33.60,31.48,30.30
1926,32.46,31.54,32.13,30.71,31.61,31.21,33.55,34.38,33.73,32.11,30.98
1927,31.86,30.96,31.54,30.17,31.04,30.68,32.91,33.69,33.07,31.54,30.42
1928,31.89,30.92,31.57,30.03,30.97,30.56,33.03,33.85,33.26,31.52,30.31
1929,31.92,31.01,31.63,30.17,31.04,30.64,33.00,33.80,33.22,31.53,30.48
1930,32.41,31.47,32.04,30.66,31.62,31.28,33.50,34.36,33.66,32.18,30.82
1931,32.86,31.88,32.55,30.90,31.88,31.42,34.06,34.96,34.28,32.44,31.18
1932,32.90,31.96,32.57,31.08,32.04,31.65,34.03,34.88,34.18,32.56,31.27
1933,32.82,31.80,32.42,30.92,31.87,31.47,34.04,35.13,34.24,32.43,31.13
1934,33.05,32.04,32.73,31.01,32.05,31.54,34.31,35.26,34.46,32.66,31.27
1935,33.33,32.13,32.95,30.97,32.12,31.56,34.80,35.89,35.05,32.88,31.20
1936,32.55,31.44,32.18,30.41,31.41,30.92,33.89,35.00,34.20,32.02,30.74
1937,33.86,32.76,33.60,31.54,32.67,32.04,35.27,36.19,35.58,33.33,31.82
1938,33.59,32.41,33.28,31.14,32.30,31.66,35.06,36.16,35.43,33.00,31.46
1939,33.01,31.91,32.70,30.79,31.85,31.29,34.34,35.37,34.74,32.47,31.11
1940,32.62,31.58,32.29,30.61,31.59,31.14,33.85,34.80,34.18,32.16,30.89
1941,33.02,31.98,32.66,31.05,32.02,31.60,34.24,35.23,34.56,32.58,31.30
1942,32.80,31.74,32.43,30.78,31.76,31.32,34.06,35.08,34.39,32.35,31.02
1943,32.25,31.21,31.88,30.28,31.24,30.83,33.48,34.51,33.81,31.83,30.53
1944,32.87,31.86,32.54,30.90,31.85,31.39,34.09,35.05,34.43,32.40,31.18
1945,32.51,31.51,32.19,30.59,31.50,31.07,33.69,34.62,34.06,32.03,30.91
1946,32.24,31.20,31.89,30.27,31.22,30.80,33.45,34.45,33.82,31.80,30.56
1947,32.57,31.48,32.20,30.49,31.48,31.03,33.85,34.92,34.27,32.08,30.78
1948,32.12,31.08,31.78,30.13,31.08,30.64,33.33,34.33,33.72,31.64,30.43
1949,32.60,31.48,32.19,30.51,31.49,31.05,33.92,35.05,34.31,32.12,30.79
1950,32.08,31.07,31.74,30.14,31.09,30.67,33.29,34.23,33.48,31.66,30.43
1951,32.75,31.66,32.42,30.66,31.66,31.19,34.06,34.98,34.36,32.33,30.89
1952,32.66,31.58,32.34,30.51,31.50,30.97,33.98,34.96,34.32,32.14,30.83
1953,32.45,31.38,32.13,30.33,31.28,30.79,33.73,34.73,34.13,31.89,30.72
1954,32.12,30.97,31.79,29.92,30.87,30.37,33.45,34.50,33.90,31.50,30.41
1955,32.02,30.86,31.66,29.80,30.80,30.28,33.36,34.42,33.80,31.48,30.20
1956,32.11,30.96,31.74,29.95,30.89,30.40,33.43,34.57,33.94,31.54,30.32
1957,32.29,31.21,31.97,30.17,31.06,30.58,33.60,34.65,34.04,31.68,30.53
1958,32.48,31.27,32.06,30.26,31.16,30.67,33.90,35.12,34.45,31.83,30.56
1959,32.49,31.32,32.13,30.28,31.23,30.75,33.85,35.03,34.35,31.83,30.67
1960,32.36,31.27,32.01,30.25,31.16,30.68,33.65,34.75,34.06,31.75,30.65
1961,32.24,31.22,31.91,30.29,31.19,30.72,33.44,34.46,33.84,31.71,30.65
1962,32.07,31.07,31.71,30.16,31.09,30.65,33.22,34.30,33.64,31.57,30.51
1963,32.45,31.48,32.08,30.57,31.48,31.07,33.57,34.61,34.08,31.92,30.92
1964,31.95,30.85,31.54,29.92,30.87,30.46,33.20,34.31,33.66,31.48,30.20
1965,32.15,30.99,31.78,30.01,31.00,30.58,33.49,34.54,33.88,31.64,30.33
1966,32.51,31.44,32.17,30.49,31.41,30.96,33.76,34.74,34.16,31.99,30.85
1967,32.07,31.03,31.70,30.10,31.03,30.59,33.28,34.29,33.67,31.58,30.41
1968,32.27,31.28,31.92,30.33,31.29,30.82,33.46,34.47,33.83,31.79,30.63
1969,32.58,31.45,32.16,30.53,31.49,31.04,33.87,34.99,34.45,32.04,30.78
1970,32.52,31.32,32.10,30.40,31.36,30.93,33.86,35.05,34.44,31.91,30.71
1971,31.75,30.67,31.34,29.77,30.68,30.24,32.97,34.19,33.64,31.16,30.06
1972,31.97,30.81,31.59,29.87,30.85,30.41,33.26,34.37,33.82,31.44,30.17
1973,32.66,31.55,32.30,30.57,31.55,31.10,33.92,35.02,34.48,32.10,30.90
1974,31.84,30.80,31.51,29.83,30.73,30.29,33.04,34.12,33.57,31.20,30.23
1975,31.78,30.71,31.44,29.75,30.63,30.17,33.02,34.11,33.53,31.10,30.17
1976,31.53,30.45,31.19,29.45,30.40,29.94,32.79,33.84,33.26,30.97,29.83
1977,32.27,31.17,31.97,30.15,31.16,30.71,33.56,34.50,33.93,31.77,30.44
1978,31.85,30.78,31.52,29.77,30.72,30.29,33.10,34.16,33.54,31.32,30.12
1979,32.14,31.09,31.83,30.12,31.05,30.60,33.36,34.34,33.77,31.61,30.46
1980,32.00,30.87,31.60,29.91,30.88,30.45,33.24,34.39,33.92,31.50,30.23
1981,32.65,31.50,32.32,30.49,31.50,31.09,34.01,34.97,34.20,32.28,30.73
1982,32.30,31.29,31.97,30.32,31.34,30.91,33.54,34.40,33.64,32.01,30.47
1983,32.93,31.88,32.62,30.87,31.89,31.49,34.21,35.08,34.41,32.56,31.11
1984,32.80,31.89,32.51,30.90,31.90,31.45,33.95,34.81,34.13,32.49,31.11
1985,32.56,31.58,32.22,30.62,31.60,31.17,33.77,34.69,33.96,32.23,30.81
1986,32.50,31.47,32.21,30.45,31.42,30.96,33.77,34.69,33.97,32.06,30.73
1987,32.95,31.80,32.62,30.77,31.73,31.26,34.27,35.39,34.82,32.29,31.14
1988,32.38,31.44,32.10,30.50,31.31,30.84,33.51,34.50,33.96,31.74,30.92
1989,32.26,31.26,31.98,30.30,31.13,30.64,33.44,34.48,33.92,31.59,30.70
1990,32.53,31.45,32.15,30.48,31.37,30.92,33.79,34.94,34.31,31.90,30.88
1991,32.01,31.01,31.67,30.13,30.98,30.53,33.16,34.23,33.54,31.43,30.50
1992,32.00,31.04,31.70,30.12,31.04,30.62,33.14,34.04,33.47,31.56,30.43
1993,32.28,31.23,31.87,30.31,31.26,30.88,33.48,34.63,33.98,31.82,30.62
1994,32.00,31.07,31.72,30.15,31.06,30.64,33.12,34.02,33.39,31.52,30.52
1995,32.59,31.65,32.28,30.72,31.61,31.16,33.72,34.65,34.09,32.03,31.12
1996,32.43,31.33,32.04,30.34,31.26,30.82,33.75,34.89,34.23,31.80,30.68
1997,32.43,31.39,32.12,30.41,31.31,30.87,33.66,34.70,34.06,31.84,30.85
1998,33.03,32.08,32.74,31.11,32.03,31.57,34.17,35.09,34.58,32.50,31.48
1999,32.37,31.37,32.02,30.49,31.35,30.93,33.53,34.59,33.89,31.87,30.84
2000,32.72,31.70,32.37,30.76,31.75,31.33,33.91,34.95,34.29,32.31,31.03
2001,32.80,31.67,32.43,30.65,31.70,31.25,34.10,35.17,34.57,32.33,30.90
2002,32.80,31.66,32.43,30.66,31.67,31.23,34.09,35.15,34.64,32.27,30.98
2003,32.80,31.71,32.43,30.75,31.77,31.32,34.04,35.02,34.47,32.35,31.04
2004,32.52,31.41,32.17,30.39,31.38,30.92,33.78,34.94,34.35,31.96,30.72
2005,32.80,31.67,32.44,30.68,31.68,31.25,34.10,35.16,34.59,32.29,30.97
2006,32.78,31.68,32.42,30.68,31.69,31.26,34.07,35.13,34.47,32.30,30.97
2007,32.87,31.81,32.54,30.82,31.82,31.36,34.10,35.10,34.56,32.36,31.12
2008,32.58,31.58,32.26,30.59,31.56,31.13,33.78,34.72,34.17,32.12,30.88
2009,32.78,31.69,32.41,30.71,31.69,31.26,34.04,35.13,34.54,32.26,30.98
2010,33.11,32.08,32.78,31.12,32.10,31.67,34.30,35.29,34.73,32.64,31.39
2011,32.85,31.76,32.49,30.77,31.74,31.30,34.12,35.21,34.64,32.33,31.07
2012,32.52,31.48,32.17,30.52,31.49,31.09,33.73,34.73,34.12,32.08,30.78
2013,32.78,31.69,32.42,30.71,31.67,31.22,34.06,35.12,34.49,32.29,30.99
2014,32.75,31.67,32.38,30.71,31.69,31.26,34.01,35.07,34.41,32.32,30.99
2015,33.07,32.08,32.75,31.08,32.08,31.61,34.25,35.17,34.65,32.62,31.37
2016,33.20,32.24,32.87,31.32,32.26,31.85,34.33,35.27,34.72,32.78,31.59
2017,33.16,32.18,32.86,31.21,32.17,31.70,34.32,35.24,34.75,32.70,31.51
2018,32.89,31.89,32.54,30.98,31.94,31.51,34.04,35.04,34.49,32.50,31.23
2019,32.90,31.91,32.57,30.95,31.91,31.47,34.08,35.03,34.45,32.45,31.21
2020,33.17,32.17,32.85,31.22,32.19,31.75,34.34,35.25,34.76,32.71,31.49
2021,33.40,32.34,33.05,31.36,32.33,31.88,34.64,35.70,35.14,32.91,31.60
