Variable:,tnn
,Ghana,Ashanti,"Brong Ahafo",Central,Eastern,"Greater Accra",Northern,"Upper East","Upper West",Volta,Western
2015,15.81,16.52,15.41,20.75,18.18,21.47,14.87,14.56,14.01,17.15,19.79
2016,15.76,16.80,15.50,20.62,18.34,21.54,14.79,14.37,14.02,17.10,19.75
2017,15.78,16.70,15.43,20.97,18.41,21.68,14.68,14.35,13.96,17.21,20.00
2018,16.02,17.08,15.62,20.99,18.77,21.82,14.87,14.67,14.30,17.47,20.08
2019,15.95,16.91,15.57,20.95,18.70,21.76,14.80,14.55,14.19,17.45,20.07
2020,16.35,17.49,16.34,21.22,19.14,21.89,15.30,14.76,14.54,17.79,20.40
2021,16.16,17.31,15.81,20.94,18.95,21.70,14.99,14.66,14.43,17.79,20.08
2022,16.10,17.23,15.92,21.12,18.81,21.75,14.89,14.47,14.18,17.81,20.34
2023,16.36,17.60,16.11,21.21,19.04,21.89,15.23,15.06,14.74,17.97,20.41
2024,16.52,17.06,15.96,20.97,18.95,21.89,15.63,15.36,14.99,17.90,20.08
2025,16.36,17.26,15.86,21.35,18.93,21.97,15.43,15.13,14.64,17.72,20.39
2026,16.49,17.72,16.22,21.33,19.15,22.02,15.34,14.95,14.46,18.04,20.63
2027,16.30,17.25,15.93,21.12,19.14,22.00,15.10,14.88,14.41,17.85,20.22
2028,16.86,17.59,16.57,21.46,19.19,22.20,16.03,15.41,14.79,18.32,20.47
2029,16.43,17.36,16.10,21.21,19.02,21.96,15.35,15.25,14.69,17.78,20.33
2030,16.62,18.09,16.49,21.23,19.54,21.92,15.32,14.95,14.44,18.25,20.44
2031,16.71,17.89,16.58,21.21,19.33,22.00,15.61,15.05,14.57,18.35,20.45
2032,16.62,17.44,16.31,21.23,19.14,22.09,15.63,15.08,14.74,18.14,20.36
2033,16.67,17.85,16.46,21.31,19.23,22.16,15.65,15.34,14.90,18.02,20.44
2034,16.63,17.84,16.30,21.27,19.22,22.11,15.44,15.07,14.60,18.39,20.53
2035,16.80,18.01,16.56,21.40,19.29,22.20,15.64,15.26,14.77,18.35,20.62
2036,16.55,17.50,16.20,21.41,19.17,22.28,15.59,15.00,14.60,18.12,20.54
2037,16.33,17.29,15.91,21.22,18.93,22.30,15.22,15.00,14.76,17.80,20.33
2038,16.49,17.50,16.25,21.47,19.08,22.19,15.37,15.10,14.84,17.93,20.58
2039,16.68,18.00,16.45,21.59,19.49,22.26,15.54,15.14,14.73,18.09,20.90
2040,16.52,17.61,16.26,21.31,19.03,22.11,15.44,14.93,14.60,18.16,20.50
2041,16.89,17.95,16.65,21.55,19.36,22.22,15.80,15.35,14.89,18.40,20.74
2042,16.72,17.64,16.38,21.44,19.52,22.16,15.56,15.12,14.63,18.36,20.65
2043,16.69,17.83,16.34,21.46,19.25,22.20,15.70,15.13,14.73,18.20,20.68
2044,16.70,17.68,16.40,21.47,19.33,22.35,15.58,15.33,14.96,18.27,20.70
2045,16.91,18.09,16.80,21.29,19.54,22.18,15.82,15.42,14.78,18.39,20.65
2046,16.69,17.70,16.57,21.59,19.29,22.35,15.59,15.23,14.76,18.25,20.68
2047,16.63,17.71,16.29,21.61,19.25,22.27,15.47,15.39,14.94,18.09,20.80
2048,16.83,18.04,16.58,21.77,19.45,22.44,15.79,15.31,14.96,18.23,20.89
2049,16.83,17.96,16.39,21.70,19.51,22.46,15.71,15.50,14.92,18.21,20.96
2050,17.08,18.37,16.91,21.78,19.63,22.41,15.86,15.62,15.11,18.77,21.04
2051,16.81,17.81,16.53,21.59,19.33,22.24,15.75,15.48,14.63,18.22,20.77
2052,16.80,17.95,16.50,21.57,19.47,22.35,15.67,15.24,14.94,18.45,20.72
2053,16.59,17.82,16.35,21.71,19.33,22.34,15.43,14.71,14.39,18.20,20.80
2054,16.72,18.10,16.70,21.52,19.40,22.27,15.53,14.94,14.36,18.20,20.93
2055,16.80,17.61,16.33,21.69,19.34,22.37,15.81,15.49,15.11,18.32,20.74
2056,16.74,17.75,16.27,21.55,19.22,22.30,15.76,15.50,15.12,18.10,20.56
2057,16.77,17.57,16.53,21.41,19.13,22.22,15.77,15.19,14.77,18.50,20.53
2058,16.70,17.89,16.44,21.79,19.42,22.37,15.59,15.04,14.43,18.29,20.86
2059,16.52,17.52,16.31,21.49,19.31,22.28,15.44,15.03,14.73,17.93,20.58
2060,16.86,17.85,16.36,21.44,19.35,22.13,15.86,15.59,15.31,18.40,20.74
2061,16.94,18.10,16.66,21.63,19.52,22.36,15.88,15.43,15.00,18.40,20.92
2062,17.07,18.44,16.86,21.64,19.85,22.41,15.86,15.69,15.13,18.52,20.94
2063,16.55,17.66,16.43,21.67,19.09,22.35,15.41,15.14,14.74,17.93,20.78
2064,16.93,18.15,16.52,21.85,19.81,22.53,15.76,15.42,14.95,18.51,21.03
2065,16.89,17.59,16.47,21.66,19.23,22.43,16.06,15.42,14.98,18.36,20.63
2066,16.76,17.72,16.39,21.74,19.43,22.41,15.63,15.48,15.22,18.19,20.86
2067,16.97,17.93,16.66,21.90,19.63,22.53,15.90,15.64,15.44,18.28,20.99
2068,16.89,17.79,16.60,21.47,19.29,22.35,15.74,15.76,15.21,18.53,20.51
2069,16.98,18.36,16.60,21.48,19.99,22.33,15.69,15.40,15.08,18.71,20.83
2070,16.96,18.00,16.55,21.55,19.53,22.45,15.82,15.56,15.24,18.65,20.72
2071,16.97,18.23,16.56,21.80,19.82,22.59,15.74,15.54,15.11,18.47,21.05
2072,16.82,17.99,16.41,21.67,19.53,22.38,15.75,15.54,15.08,18.23,20.80
2073,16.87,17.84,16.53,21.77,19.41,22.42,15.86,15.43,15.01,18.32,20.84
2074,16.75,17.67,16.41,21.71,19.46,22.46,15.60,15.12,14.63,18.39,20.76
2075,17.07,18.31,16.63,21.68,19.69,22.41,15.94,15.80,15.35,18.36,20.98
2076,16.64,17.40,16.20,21.61,19.09,22.37,15.67,15.49,15.12,18.08,20.57
2077,16.84,17.71,16.41,21.71,19.34,22.34,15.69,15.31,14.76,18.59,20.82
2078,16.74,17.71,16.41,21.65,19.35,22.38,15.60,15.41,15.13,18.21,20.71
2079,17.09,17.99,16.47,21.51,19.42,22.27,16.22,16.17,15.57,18.31,20.70
2080,16.74,17.83,16.48,21.69,19.42,22.48,15.54,15.40,15.02,18.33,20.87
2081,16.72,17.81,16.25,21.85,19.59,22.53,15.57,15.01,14.62,18.28,21.03
2082,16.67,17.68,16.19,21.48,19.26,22.25,15.48,15.70,15.18,18.19,20.79
2083,16.21,17.27,15.65,21.48,18.78,22.00,15.00,14.79,14.22,17.85,20.53
2084,16.63,17.51,16.22,21.55,19.21,22.39,15.53,15.20,14.71,18.28,20.63
2085,16.72,17.68,16.44,21.61,19.24,22.39,15.62,15.18,14.87,18.52,20.54
2086,16.76,17.86,16.43,21.69,19.57,22.44,15.56,15.29,14.73,18.43,20.81
2087,16.76,17.84,16.52,21.59,19.49,22.43,15.67,15.32,14.95,18.19,20.73
2088,16.78,17.85,16.22,21.64,19.42,22.37,15.62,15.59,15.19,18.40,20.79
2089,16.82,18.12,16.76,21.40,19.60,22.30,15.61,15.17,14.97,18.42,20.75
2090,16.90,17.91,16.57,21.73,19.56,22.41,15.84,15.50,15.00,18.39,20.92
2091,16.65,17.57,16.26,21.74,19.31,22.55,15.62,15.31,14.99,18.05,20.80
2092,16.80,17.67,16.48,21.64,19.26,22.36,15.78,15.46,15.11,18.40,20.83
2093,16.67,18.19,16.49,21.71,19.60,22.45,15.36,15.02,14.61,18.20,21.04
2094,16.61,17.69,16.29,21.52,19.51,22.29,15.37,15.08,14.95,18.29,20.72
2095,16.40,17.49,16.05,21.62,18.99,22.36,15.28,14.77,14.48,17.98,20.63
2096,16.58,17.68,16.32,21.40,19.30,22.20,15.43,15.14,14.58,18.13,20.57
2097,16.47,17.59,16.21,21.51,19.33,22.21,15.30,14.85,14.48,18.15,20.70
2098,16.26,17.52,16.04,21.58,19.01,22.38,15.03,14.60,13.99,17.88,20.57
2099,16.83,18.05,16.52,21.85,19.63,22.40,15.71,15.28,14.94,18.35,20.97
2100,16.54,17.57,16.12,21.66,19.27,22.49,15.40,15.24,14.77,17.99,20.76
