Variable:,cwd
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ghana,100.30,0.77,1.55,3.79,6.16,8.30,10.56,14.70,16.61,15.46,13.03,5.21,1.06
Eastern,112.34,1.46,2.55,4.88,7.74,9.65,13.45,18.13,15.00,13.80,15.74,7.80,1.93
Central,111.23,2.31,3.16,4.79,7.15,10.31,17.67,21.76,12.09,8.77,9.53,7.43,2.98
"Brong Ahafo",117.61,1.13,2.24,4.85,7.53,9.17,11.09,16.86,18.06,18.38,17.63,7.21,1.53
Ashanti,123.38,1.65,2.75,5.58,8.21,10.04,11.76,17.84,17.04,16.42,18.18,8.96,2.01
Western,118.81,2.43,3.20,5.60,7.94,11.63,18.14,21.13,14.39,11.46,12.75,9.20,3.21
Volta,106.71,0.90,2.08,4.25,6.86,9.25,12.06,16.17,16.04,15.06,14.90,6.43,1.32
"Upper West",78.88,0.14,0.48,2.49,4.46,6.79,8.44,11.71,16.35,14.82,8.69,2.20,0.20
"Upper East",74.56,0.09,0.36,2.24,3.78,6.13,7.82,10.10,15.16,13.80,7.68,1.83,0.14
Northern,92.43,0.28,0.88,2.97,5.37,7.39,9.03,12.89,17.61,16.37,11.38,3.47,0.49
"Greater Accra",97.90,1.54,2.25,4.00,6.52,10.47,16.00,19.99,11.22,7.76,9.55,6.14,1.89
